"Amministratori Comunali - elenco completo provincia di treviso"
"Aggiornato al 17/01/2025"
"codice_regione";"codice_provincia";"codice_comune";"denominazione_comune";"sigla_provincia";"popolazione_censita_alla_data_elezione";"cognome";"nome";"sesso";"data_nascita";"luogo_nascita";"livello_carica";"descrizione_carica";"incarico";"funzione";"data_elezione";"data_entrata_in_carica";"lista_appartenenza/collegamento";"titolo_studio";"professione"
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"ZILIO";"DORINO";"M";"24/06/1968";"ALTIVOLE (TV)";"10";"Sindaco";;;"09/06/2024";"10/06/2024";"FRATELLI D'ITALIA-CIVICHE";"Istruzione Secondaria di Secondo Grado";"CONDUTTORI DI AZIENDE AD ORDINAMENTO PRODUTTIVO MISTO E ASSIMILATI"
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"ARGENTI";"MARCO";"M";"07/12/1972";"PADOVA (PD)";"50";"Assessore";;;"09/06/2024";"25/06/2024";;"Istruzione Secondaria di Secondo Grado";"SPECIALISTI E TECNICI IN SCIENZE E ATTIVITA' GESTIONALI, COMMERCIALI E BANCARIE"
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"GATTO";"ANUSCA";"F";"02/11/1973";"MONTEBELLUNA (TV)";"50";"Assessore";;;"09/06/2024";"25/06/2024";;"Laurea Triennale";"Parrucchieri ed estetisti e tecnici della cura estetica"
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"SANTALUCIA";"SILVA";"F";"21/07/1965";"CASTELFRANCO VENETO (TV)";"50";"Assessore";;;"09/06/2024";"25/06/2024";;"Laurea Magistrale";"Professori di scuola secondaria superiore e inferiore"
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"VISINTIN";"ANGELO";"M";"06/08/1963";"ALTIVOLE (TV)";"50";"Assessore";"Vicesindaco";;"09/06/2024";"25/06/2024";;"Istruzione Primaria";"Imprenditori, amministratori, direttori di aziende private di grande o media dimensione"
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"ARGENTI";"MARCO";"M";"07/12/1972";"PADOVA (PD)";"120";"Consigliere";;;"09/06/2024";"10/06/2024";"FRATELLI D'ITALIA-CIVICHE";"Istruzione Secondaria di Secondo Grado";"SPECIALISTI E TECNICI IN SCIENZE E ATTIVITA' GESTIONALI, COMMERCIALI E BANCARIE"
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"DANIEL";"JONY";"M";"14/07/1975";"MONTEBELLUNA (TV)";"120";"Consigliere";;;"09/06/2024";"10/06/2024";"LEGA- INSIEME PER ALTIVOLE-FORZA ITALIA-PPE";"Istruzione Secondaria di Primo Grado";
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"FLORIAN";"MICHELA";"F";"19/07/1973";"MONTEBELLUNA (TV)";"120";"Consigliere";;;"09/06/2024";"10/06/2024";"FRATELLI D'ITALIA-CIVICHE";"Laurea Magistrale";
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"GALLINA";"STEFANO";"M";"09/09/1972";"MONTEBELLUNA (TV)";"120";"Consigliere";;;"09/06/2024";"10/06/2024";"LEGA- INSIEME PER ALTIVOLE-FORZA ITALIA-PPE";"Istruzione Secondaria di Primo Grado";"IMPRENDITORI, AMMINISTRATORI, DIRETTORI, GESTORI E RESPONSABILI DI AZIENDE PRIVATE"
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"GATTO";"ANUSCA";"F";"02/11/1973";"MONTEBELLUNA (TV)";"120";"Consigliere";;;"09/06/2024";"10/06/2024";"FRATELLI D'ITALIA-CIVICHE";"Laurea Triennale";"Parrucchieri ed estetisti e tecnici della cura estetica"
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"MATTEOLI";"GIUSEPPE";"M";"23/08/1955";"PONTEDERA (PI)";"120";"Consigliere";;;"09/06/2024";"10/06/2024";"FRATELLI D'ITALIA-CIVICHE";"Laurea Magistrale";"MEDICI CHIRURGHI SPECIALISTI"
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"PAVAN";"CRISTIANO";"M";"02/05/1984";"MONTEBELLUNA (TV)";"120";"Consigliere";;;"09/06/2024";"10/06/2024";"FRATELLI D'ITALIA-CIVICHE";"Laurea Magistrale";"SPECIALISTI IN SCIENZE GIURIDICHE"
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"PERETTO";"GIULIANA";"F";"08/11/1965";"BASSANO DEL GRAPPA (VI)";"120";"Consigliere";;;"09/06/2024";"10/06/2024";"LEGA- INSIEME PER ALTIVOLE-FORZA ITALIA-PPE";"Istruzione Secondaria di Secondo Grado";"CONDIZIONI NON PROFESSIONALI"
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"PERIN";"ACHILLE";"M";"30/12/1970";"CASTELFRANCO VENETO (TV)";"120";"Consigliere";;;"09/06/2024";"10/06/2024";"FRATELLI D'ITALIA-CIVICHE";"Istruzione Secondaria di Secondo Grado";"CONDUTTORI DI IMPIANTI TERMICI E ASSIMILATI"
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"SANTALUCIA";"SILVA";"F";"21/07/1965";"CASTELFRANCO VENETO (TV)";"120";"Consigliere";;;"09/06/2024";"10/06/2024";"FRATELLI D'ITALIA-CIVICHE";"Laurea Magistrale";"Professori di scuola secondaria superiore e inferiore"
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"VISENTIN";"CHIARA";"F";"25/08/1980";"CASTELFRANCO VENETO (TV)";"120";"Consigliere";;;"09/06/2024";"10/06/2024";"LEGA- INSIEME PER ALTIVOLE-FORZA ITALIA-PPE";"Laurea Magistrale";"SPECIALISTI E TECNICI IN SCIENZE E ATTIVITA' GESTIONALI, COMMERCIALI E BANCARIE"
"05";"084";"0010";"ALTIVOLE";"TV";"7015";"VISINTIN";"ANGELO";"M";"06/08/1963";"ALTIVOLE (TV)";"120";"Consigliere";;;"09/06/2024";"10/06/2024";"FRATELLI D'ITALIA-CIVICHE";"Istruzione Primaria";"Imprenditori, amministratori, direttori di aziende private di grande o media dimensione"
"05";"084";"0020";"ARCADE";"TV";"4504";"PRESTI";"DOMENICO";"M";"14/07/1960";"MISTERBIANCO (CT)";"10";"Sindaco";;;"14/05/2023";"15/05/2023";"PER ARCADE NICO PRESTI SINDACO";"Istruzione Secondaria di Secondo Grado";"RAPPRESENTANTI DI COMMERCIO, VIAGGIATORI, MEDIATORI E ASSIMILATI"
"05";"084";"0020";"ARCADE";"TV";"4504";"BARRO";"ALESSIA";"F";"11/04/1973";"ROMA (RM)";"50";"Assessore";;;"14/05/2023";"25/05/2023";;;
"05";"084";"0020";"ARCADE";"TV";"4504";"BENVENUTI";"FABIO";"M";"26/07/1968";"NAPOLI (NA)";"50";"Assessore";;;"14/05/2023";"25/05/2023";;"Istruzione Secondaria di Secondo Grado";"IMPRENDITORI, AMMINISTRATORI, DIRETTORI, GESTORI E RESPONSABILI DI AZIENDE PRIVATE"
"05";"084";"0020";"ARCADE";"TV";"4504";"MANNO";"LUCIO";"M";"07/04/1971";"NAPOLI (NA)";"50";"Assessore";;;"14/05/2023";"25/05/2023";;"Istruzione Secondaria di Secondo Grado";"APPARTENENTI A FORZE ARMATE E A FORZE DI POLIZIA, TECNICI E ADDETTI A SERVIZI DI SICUREZZA PUBBLICA E VIGILANZA PUBBLICA E PRIVATA"
"05";"084";"0020";"ARCADE";"TV";"4504";"TRENTIN";"ALESSIO";"M";"09/02/1991";"TREVISO (TV)";"50";"Assessore";"Vicesindaco";;"14/05/2023";"25/05/2023";;"Istruzione Secondaria di Secondo Grado";"IMPRENDITORI, AMMINISTRATORI, DIRETTORI, GESTORI E RESPONSABILI DI AZIENDE PRIVATE"
"05";"084";"0020";"ARCADE";"TV";"4504";"BARRO";"ALESSIA";"F";"11/10/1973";"ROMA (RM)";"120";"Consigliere";;;"14/05/2023";"25/05/2023";"PER ARCADE NICO PRESTI SINDACO";"Istruzione Secondaria di Secondo Grado";
"05";"084";"0020";"ARCADE";"TV";"4504";"BENVENUTI";"FABIO";"M";"26/07/1968";"NAPOLI (NA)";"120";"Consigliere";;;"14/05/2023";"25/05/2023";"PER ARCADE NICO PRESTI SINDACO";"Istruzione Secondaria di Secondo Grado";"IMPRENDITORI, AMMINISTRATORI, DIRETTORI, GESTORI E RESPONSABILI DI AZIENDE PRIVATE"
"05";"084";"0020";"ARCADE";"TV";"4504";"BIGOLIN";"GIUSEPPE";"M";"25/11/1965";"SPRESIANO (TV)";"120";"Consigliere";;;"14/05/2023";"25/05/2023";"LEGA-VIVERE ARCADE";"Istruzione Secondaria di Secondo Grado";"COMMERCIALISTI E ASSIMILATI"
"05";"084";"0020";"ARCADE";"TV";"4504";"BOSCARATO";"PAOLO";"M";"06/02/1963";"SPRESIANO (TV)";"120";"Consigliere";;;"14/05/2023";"25/05/2023";"CIVICA PER ARCADE";"Istruzione Secondaria di Secondo Grado";"ASSISTENTI, TECNICI SANITARI E ASSIMILATI"
"05";"084";"0020";"ARCADE";"TV";"4504";"BRESSAN";"MARCO";"M";"07/10/1976";"TREVISO (TV)";"120";"Consigliere";;;"14/05/2023";"25/05/2023";"PER ARCADE NICO PRESTI SINDACO";"Istruzione Secondaria di Secondo Grado";"IMPIEGATI DI AMMINISTRAZIONI, ORGANI ED ENTI PUBBLICI (NON RICOMPRESI IN ALTRE SPECIFICHE CLASSIFICAZIONI)"
"05";"084";"0020";"ARCADE";"TV";"4504";"DAL BEN";"MORRIS";"M";"22/10/1968";"TREVISO (TV)";"120";"Consigliere";;;"14/05/2023";"25/05/2023";"PER ARCADE NICO PRESTI SINDACO";;
"05";"084";"0020";"ARCADE";"TV";"4504";"GIGO";"ANDREA";"M";"15/06/1972";"TREVISO (TV)";"120";"Consigliere";;;"14/05/2023";"25/05/2023";"PER ARCADE NICO PRESTI SINDACO";"Laurea Magistrale";"IMPIEGATI DI AMMINISTRAZIONI, ORGANI ED ENTI PUBBLICI (NON RICOMPRESI IN ALTRE SPECIFICHE CLASSIFICAZIONI)"
"05";"084";"0020";"ARCADE";"TV";"4504";"MANNO";"LUCIO";"M";"07/04/1971";"NAPOLI (NA)";"120";"Consigliere";;;"14/05/2023";"25/05/2023";"PER ARCADE NICO PRESTI SINDACO";"Istruzione Secondaria di Secondo Grado";"APPARTENENTI A FORZE ARMATE E A FORZE DI POLIZIA, TECNICI E ADDETTI A SERVIZI DI SICUREZZA PUBBLICA E VIGILANZA PUBBLICA E PRIVATA"
"05";"084";"0020";"ARCADE";"TV";"4504";"PAVAN";"MARIO";"M";"10/07/1956";"ARCADE (TV)";"120";"Consigliere";;;"14/05/2023";"25/05/2023";"CIVICA PER ARCADE";"Istruzione Secondaria di Secondo Grado";"IMPIEGATI  AMMINISTRATIVI CON MANSIONI DIRETTIVE E DI CONCETTO"
"05";"084";"0020";"ARCADE";"TV";"4504";"RUARO";"CHIARA";"F";"03/09/1981";"BADIA POLESINE (RO)";"120";"Consigliere";;;"14/05/2023";"25/05/2023";"PER ARCADE NICO PRESTI SINDACO";"Istruzione Secondaria di Secondo Grado";"ESERCENTI O ADDETTI AD ATTIVITA' COMMERCIALI O A SERVIZI ALLE PERSONE"
"05";"084";"0020";"ARCADE";"TV";"4504";"SIVIERO";"DIONISIO ROMUALDO";"M";"07/02/1960";"CANADA";"120";"Consigliere";;;"14/05/2023";"25/05/2023";"LEGA-VIVERE ARCADE";"Istruzione Secondaria di Secondo Grado";"IMPIEGATI DI AZIENDE, IMPRESE, ENTI ECONOMICI E SOGGETTI DI DIRITTO PRIVATO (NON RICOMPRESI IN ALTRE SPECIFICHE CLASSIFICAZIONI)"
